id,company_id,image_url,local_path
47,47,https://companiesmarketcap.com/img/company-logos/256/PG.png,C:\Users\Kimpler\Desktop\1labBA\output\images\GamblePG.png
48,48,https://companiesmarketcap.com/img/company-logos/256/UNH.png,C:\Users\Kimpler\Desktop\1labBA\output\images\UnitedHealthUNH.png
49,49,https://companiesmarketcap.com/img/company-logos/256/GE.png,C:\Users\Kimpler\Desktop\1labBA\output\images\ElectricGE.png
50,50,https://companiesmarketcap.com/img/company-logos/256/MS.png,C:\Users\Kimpler\Desktop\1labBA\output\images\StanleyMS.png
51,51,https://companiesmarketcap.com/img/company-logos/256/601988.SS.png,C:\Users\Kimpler\Desktop\1labBA\output\images\China601988.SS.png
52,52,https://companiesmarketcap.com/img/company-logos/256/NFLX.png,C:\Users\Kimpler\Desktop\1labBA\output\images\NetflixNFLX.png
53,53,https://companiesmarketcap.com/img/company-logos/256/PANW.png,C:\Users\Kimpler\Desktop\1labBA\output\images\NetworksPANW.png
54,54,https://companiesmarketcap.com/img/company-logos/256/HD.png,C:\Users\Kimpler\Desktop\1labBA\output\images\DepotHD.png
55,55,https://companiesmarketcap.com/img/company-logos/256/PM.png,C:\Users\Kimpler\Desktop\1labBA\output\images\InternationalPM.png
56,56,https://companiesmarketcap.com/img/company-logos/256/BABA.png,C:\Users\Kimpler\Desktop\1labBA\output\images\AlibabaBABA.png
57,57,https://companiesmarketcap.com/img/company-logos/256/RY.png,C:\Users\Kimpler\Desktop\1labBA\output\images\CanadaRY.png
58,58,https://companiesmarketcap.com/img/company-logos/256/GS.png,C:\Users\Kimpler\Desktop\1labBA\output\images\SachsGS.png
59,59,https://companiesmarketcap.com/img/company-logos/256/NVS.png,C:\Users\Kimpler\Desktop\1labBA\output\images\NovartisNVS.png
60,60,https://companiesmarketcap.com/img/company-logos/256/SHEL.png,C:\Users\Kimpler\Desktop\1labBA\output\images\ShellSHEL.png
61,61,https://companiesmarketcap.com/img/company-logos/256/MUFG.png,C:\Users\Kimpler\Desktop\1labBA\output\images\FinancialMUFG.png
62,62,https://companiesmarketcap.com/img/company-logos/256/RTX.png,C:\Users\Kimpler\Desktop\1labBA\output\images\RTXRTX.png
63,63,https://companiesmarketcap.com/img/company-logos/256/WFC.png,C:\Users\Kimpler\Desktop\1labBA\output\images\FargoWFC.png
64,64,https://companiesmarketcap.com/img/company-logos/256/2454.TW.png,C:\Users\Kimpler\Desktop\1labBA\output\images\MediaTek2454.TW.png
65,65,https://companiesmarketcap.com/img/company-logos/256/AZN.png,C:\Users\Kimpler\Desktop\1labBA\output\images\AstraZenecaAZN.png
66,66,https://companiesmarketcap.com/img/company-logos/256/ANET.png,C:\Users\Kimpler\Desktop\1labBA\output\images\NetworksANET.png
67,67,https://companiesmarketcap.com/img/company-logos/256/SNDK.png,C:\Users\Kimpler\Desktop\1labBA\output\images\SandiskSNDK.png
68,68,https://companiesmarketcap.com/img/company-logos/256/CRWD.png,C:\Users\Kimpler\Desktop\1labBA\output\images\CrowdStrikeCRWD.png
69,69,https://companiesmarketcap.com/img/company-logos/256/GEV.png,C:\Users\Kimpler\Desktop\1labBA\output\images\VernovaGEV.png
70,70,https://companiesmarketcap.com/img/company-logos/256/TXN.png,C:\Users\Kimpler\Desktop\1labBA\output\images\InstrumentsTXN.png
71,71,https://companiesmarketcap.com/img/company-logos/256/SIE.DE.png,C:\Users\Kimpler\Desktop\1labBA\output\images\SiemensSIE.DE.png
72,72,https://companiesmarketcap.com/img/company-logos/256/TMO.png,C:\Users\Kimpler\Desktop\1labBA\output\images\ScientificTMO.png
73,73,https://companiesmarketcap.com/img/company-logos/256/SAP.png,C:\Users\Kimpler\Desktop\1labBA\output\images\SAPSAP.png
74,74,https://companiesmarketcap.com/img/company-logos/256/NESN.SW.png,C:\Users\Kimpler\Desktop\1labBA\output\images\NestléNESN.SW.png
75,75,https://companiesmarketcap.com/img/company-logos/256/KLAC.png,C:\Users\Kimpler\Desktop\1labBA\output\images\KLAKLAC.png
76,76,https://companiesmarketcap.com/img/company-logos/256/OR.PA.png,C:\Users\Kimpler\Desktop\1labBA\output\images\L'OréalOR.PA.png
77,77,https://companiesmarketcap.com/img/company-logos/256/600519.SS.png,C:\Users\Kimpler\Desktop\1labBA\output\images\Moutai600519.SS.png
78,78,https://companiesmarketcap.com/img/company-logos/256/MRVL.png,C:\Users\Kimpler\Desktop\1labBA\output\images\TechnologyMRVL.png
79,79,https://companiesmarketcap.com/img/company-logos/256/MC.PA.png,C:\Users\Kimpler\Desktop\1labBA\output\images\LVMHMC.PA.png
80,80,https://companiesmarketcap.com/img/company-logos/256/9984.T.png,C:\Users\Kimpler\Desktop\1labBA\output\images\Corp.9984.T.png
81,81,https://companiesmarketcap.com/img/company-logos/256/TM.png,C:\Users\Kimpler\Desktop\1labBA\output\images\ToyotaTM.png
82,82,https://companiesmarketcap.com/img/company-logos/256/C.png,C:\Users\Kimpler\Desktop\1labBA\output\images\CitigroupC.png
83,83,https://companiesmarketcap.com/img/company-logos/256/0857.HK.png,C:\Users\Kimpler\Desktop\1labBA\output\images\PetroChina0857.HK.png
84,84,https://companiesmarketcap.com/img/company-logos/256/IHC.AE.png,C:\Users\Kimpler\Desktop\1labBA\output\images\CompanyIHC.AE.png
85,85,https://companiesmarketcap.com/img/company-logos/256/BHP.png,C:\Users\Kimpler\Desktop\1labBA\output\images\GroupBHP.png
86,86,https://companiesmarketcap.com/img/company-logos/256/0941.HK.png,C:\Users\Kimpler\Desktop\1labBA\output\images\Mobile0941.HK.png
87,87,https://companiesmarketcap.com/img/company-logos/256/IBM.png,C:\Users\Kimpler\Desktop\1labBA\output\images\IBMIBM.png
88,88,https://companiesmarketcap.com/img/company-logos/256/AMGN.png,C:\Users\Kimpler\Desktop\1labBA\output\images\AmgenAMGN.png
89,89,https://companiesmarketcap.com/img/company-logos/256/SAN.png,C:\Users\Kimpler\Desktop\1labBA\output\images\SantanderSAN.png
90,90,https://companiesmarketcap.com/img/company-logos/256/AXP.png,C:\Users\Kimpler\Desktop\1labBA\output\images\ExpressAXP.png
91,91,https://companiesmarketcap.com/img/company-logos/256/LIN.png,C:\Users\Kimpler\Desktop\1labBA\output\images\LindeLIN.png
92,92,https://companiesmarketcap.com/img/company-logos/256/300750.SZ.png,C:\Users\Kimpler\Desktop\1labBA\output\images\CATL300750.SZ.png
93,93,https://companiesmarketcap.com/img/company-logos/256/QCOM.png,C:\Users\Kimpler\Desktop\1labBA\output\images\QUALCOMMQCOM.png
94,94,https://companiesmarketcap.com/img/company-logos/256/TD.png,C:\Users\Kimpler\Desktop\1labBA\output\images\BankTD.png
95,95,https://companiesmarketcap.com/img/company-logos/256/STX.png,C:\Users\Kimpler\Desktop\1labBA\output\images\TechnologySTX.png
96,96,https://companiesmarketcap.com/img/company-logos/256/APH.png,C:\Users\Kimpler\Desktop\1labBA\output\images\AmphenolAPH.png
97,97,https://companiesmarketcap.com/img/company-logos/256/TTE.png,C:\Users\Kimpler\Desktop\1labBA\output\images\TotalEnergiesTTE.png
98,98,https://companiesmarketcap.com/img/company-logos/256/VZ.png,C:\Users\Kimpler\Desktop\1labBA\output\images\VerizonVZ.png
99,99,https://companiesmarketcap.com/img/company-logos/256/CRM.png,C:\Users\Kimpler\Desktop\1labBA\output\images\SalesforceCRM.png
100,100,https://companiesmarketcap.com/img/company-logos/256/ALV.DE.png,C:\Users\Kimpler\Desktop\1labBA\output\images\SEALV.DE.png
